,law
0,Loi n° 2009-09 portant protection des données à caractère personnel en République du Bénin.
0,"L’identification se fait à partir des moyens dont dispose ou auxquels peut avoir accès, le responsable du traitement ou toute autre personne ; - fichier de données à caractère personnel : tout ensemble structuré et stable de données à caractère personnel, accessible selon des critères déterminés ; - personne concernée par un traitement de données à caractère personnel : toute personne à laquelle se rapportent les données qui font l’objet du traitement ; - responsable d’un traitement de données à caractère personnel : la personne, l’autorité publique, le service ou l’organisme qui détermine ses finalités et ses moyens ; - sous-traitant : toute personne traitant des données à caractère personnel pour le compte du responsable du traitement ; - traitement automatisé d’informations : ensemble des opérations réalisées par des moyens automatiques, relatif à la collecte, l’enregistrement, l’élaboration, la modification, la conservation, la destruction, l’édition de données et, d’une façon générale, leur exploitation ; - traitement de données à caractère personnel : toute opération ou tout ensemble d’opérations portant sur de telles données quel que soit le procédé utilisé et notamment la collecte, l’enregistrement, l’organisation, la consécration, l’adaptation ou la, l’extraction  la consultation, l’utilisation, la communication par transmission ou diffusion de tout autre forme de mise à disposition, le rapprochement ou l’interconnexion, ainsi que le verrouillage, l’effacement ou la destruction ; - Commission Nationale de l’Informatique et des Libertés (CNIL) : organisme de protection des données à caractère personnel et de contrôle de leur traitement."
0,Des mesures appropriées doivent être prises pour que les données inexactes ou incomplètes au regard des finalités pour lesquelles elles sont collectées ou traitées soient effacées ou rectifiées ; f- être conservées sous une forme permettant    des personnes concernées   un délai n’excédant pas la durée nécessaire à l’atteinte des finalités pour lesquelles elles sont collectées ou traitées.
0,"La collecte ou le traitement des données opéré(e) par tout moyen frauduleux, déloyal, illicite est interdit(e)."
0,"Toutefois, les communautés religieuses ou les groupements à caractère religieux, philosophique, politique ou syndical peuvent tenir registre de leurs membres ou de leurs correspondants sous forme automatisée."
0,"Aucun contrôle ne peut être exercé, de ce chef, à leur encontre."
0,"Pour des motifs d’intérêt public, il peut aussi être fait exception à l’interdiction ci-dessus sur proposition ou avis conforme de la Commission nationale de l’informatique et des libertés (CNIL) prévue à l’article 19 de la présente loi."
0,"Le caractère suffisant de niveau de protection assuré par un Etat s’apprécie en fonction notamment des dispositions de protection en vigueur dans cet Etat, des mesures de sécurité qui y sont appliquées, des caractères propres du traitement tels que sa fin et sa durée, ainsi que la nature, l’origine et la destination des données traitées."
0,"La communication, en langage clair, doit être conforme au contenu des enregistrements."
0,Une copie est délivrée   titulaire du   d’accès qui en fait la demande contre perception d’une redevance forfaitaire variable selon la catégorie de traitement dont le montant est fixé par décision de la Commission et homologuée par un arrêté du ministre en charge des finances.
0,"Toutefois, la commission saisie contradictoirement par le responsable du fichier peut lui accorder : - des délais de réponse ; - l’autorisation de ne pas tenir compte de certaines demandes manifestement abusives par leur nombre, leur caractère répétitif ou systématique."
0,"Lorsqu’il y a lieu de craindre la dissimulation ou la disparition des informations mentionnées au premier alinéa du présent article, et même avant l’exercice d’un recours juridictionnel, il peut être demandé au juge compétent que soient ordonnées toutes mesures de nature à éviter cette dissimulation ou cette disparition."
0,"Lorsque l’intéressé en fait la demande, le service ou l’organisme concerné doit délivrer sans frais, copie de l’enregistrement modifié   En cas de contestation, la charge de la preuve incombe au service auprès duquel est exercé le droit d’accès sauf lorsqu’il est établi que les informations contestées ont été communiquées par la personne concernée ou avec son accord."
0,"Lorsque le titulaire du droit d’accès obtient une modification de l’enregistrement, la redevance versée en application de l’article 14 est remboursée."
0,"Si une information a été transmise à un tiers, sa rectification ou son annulation doit être notifiée à ce tiers, sauf dispense accordée par la Commission."
0,Celui-ci peut se faire assister d’un autre membre de la Commission.
0,Il est notifié au requérant qu’il a été procédé aux vérifications.
0,La Commission veille à l’application des dispositions de la présente loi.
0,Elle exerce une mission de service public.
0,"Elle est dotée de la personnalité juridique, de l’autonomie administrative et de gestion."
0,Elle ne reçoit d’instruction d’aucune autorité administrative et politique.
0,"A ce titre, elle : a- informe et conseille toutes les personnes concernées et les responsables de traitement de leurs droits et obligations ; b- contrôle la création et la mise en œuvre des traitements     - reçoit les réclamations, pétitions et plaintes relatives à la mise en œuvre des traitements de données à caractère personnel et informe leurs auteurs des suites données à celles-ci ; d- informe, sans délai, le procureur de la République, conformément aux dispositions du code de procédure pénale, des violations des dispositions de la présente loi, constitutives d’infractions pénales ; e- veille aux évolutions des technologies de l’information et de la communication et rend publique son appréciation des conséquences de ces évolutions sur la protection des libertés et de la vie privée ; f- transmet aux pouvoirs publics, les propositions de modifications législatives ou réglementaires qui lui semblent susceptibles d’améliorer la protection des personnes à l’encontre de l’utilisation des technologies de l’information et de la communication."
0,La Commission est associée aux négociations internationales ayant une incidence sur le traitement des données à caractère personnel et coopère avec les autorités en charge de la protection des données à caractère personnel d’autres Etats.
0,"Il peut, dans les dix (10) jours d’une délibération, provoquer une seconde délibération."
0,La Commission est dirigée par un Bureau de trois (03) membres.
0,"Elle élit en son sein un président, un vice-président et un secrétaire."
